"	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25
0,	0,	13,	14,	9,	16,	16,	15,	16,	13,	9,	21,	9,	28,	26,	30,	25,	27,	32,	25,	20,	17,	29,	31,	33,	30,	32
1,	13,	0,	16,	7,	12,	20,	19,	15,	8,	18,	21,	10,	31,	29,	34,	29,	31,	34,	28,	23,	20,	24,	32,	31,	28,	30
2,	14,	16,	0,	13,	20,	20,	22,	23,	17,	11,	18,	17,	26,	24,	28,	23,	25,	28,	23,	18,	14,	25,	23,	31,	27,	27
3,	9,	7,	13,	0,	9,	18,	17,	17,	10,	13,	16,	11,	31,	29,	33,	28,	30,	33,	28,	23,	20,	21,	29,	29,	24,	27
4,	16,	12,	20,	9,	0,	27,	26,	22,	18,	22,	26,	19,	31,	28,	32,	28,	30,	33,	27,	23,	19,	21,	25,	29,	22,	22
5,	16,	20,	20,	18,	27,	0,	6,	7,	15,	16,	10,	15,	27,	25,	33,	26,	26,	37,	22,	27,	24,	19,	38,	22,	18,	32
6,	15,	19,	22,	17,	26,	6,	0,	6,	10,	13,	15,	10,	35,	33,	37,	33,	35,	35,	32,	21,	21,	29,	17,	37,	24,	22
7,	16,	15,	23,	17,	22,	7,	6,	0,	8,	16,	14,	10,	30,	24,	28,	24,	27,	29,	24,	21,	18,	29,	35,	33,	28,	36
8,	13,	8,	17,	10,	18,	15,	10,	8,	0,	18,	21,	5,	25,	24,	31,	25,	24,	36,	20,	26,	22,	13,	35,	20,	17,	31
9,	9,	18,	11,	13,	22,	16,	13,	16,	18,	0,	14,	15,	23,	22,	29,	23,	22,	33,	17,	23,	20,	15,	38,	18,	15,	29
10,	21,	21,	18,	16,	26,	10,	15,	14,	21,	14,	0,	19,	20,	15,	19,	20,	24,	23,	22,	17,	13,	28,	35,	31,	27,	37
11,	9,	10,	17,	11,	19,	15,	10,	10,	5,	15,	19,	0,	20,	18,	26,	18,	19,	30,	13,	20,	17,	19,	39,	22,	18,	32
12,	28,	31,	26,	31,	31,	27,	35,	30,	25,	23,	20,	20,	0,	9,	10,	18,	14,	24,	29,	32,	25,	34,	48,	37,	33,	47
13,	26,	29,	24,	29,	28,	25,	33,	24,	24,	22,	15,	18,	9,	0,	12,	16,	16,	22,	27,	29,	20,	31,	47,	35,	31,	45
14,	30,	34,	28,	33,	32,	33,	37,	28,	31,	29,	19,	26,	10,	12,	0,	25,	14,	18,	35,	28,	23,	40,	45,	45,	40,	51
15,	25,	29,	23,	28,	28,	26,	33,	24,	25,	23,	20,	18,	18,	16,	25,	0,	19,	34,	22,	28,	25,	33,	47,	37,	32,	46
16,	27,	31,	25,	30,	30,	26,	35,	27,	24,	22,	24,	19,	14,	16,	14,	19,	0,	25,	27,	30,	27,	32,	50,	36,	31,	45
17,	32,	34,	28,	33,	33,	37,	35,	29,	36,	33,	23,	30,	24,	22,	18,	34,	25,	0,	37,	20,	17,	43,	35,	49,	42,	43
18,	25,	28,	23,	28,	27,	22,	32,	24,	20,	17,	22,	13,	29,	27,	35,	22,	27,	37,	0,	26,	23,	20,	43,	25,	26,	41
19,	20,	23,	18,	23,	23,	27,	21,	21,	26,	23,	17,	20,	32,	29,	28,	28,	30,	20,	26,	0,	10,	34,	24,	40,	33,	29
20,	17,	20,	14,	20,	19,	24,	21,	18,	22,	20,	13,	17,	25,	20,	23,	25,	27,	17,	23,	10	0,	28,	28,	30,	27,	33
21,	29,	24,	25,	21,	21,	19,	29,	29,	13,	15,	28,	19,	34,	31,	40,	33,	32,	43,	20,	34,	28,	0,	38,	12,	19,	31
22,	31,	32,	23,	29,	25,	38,	17,	35,	35,	38,	35,	39,	48,	47,	45,	47,	50,	35,	43,	24,	28,	38,	0,	39,	24,	12
23,	33,	31,	31,	29,	29,	22,	37,	33,	20,	18,	31,	22,	37,	35,	45,	37,	36,	49,	25,	40,	30,	12,	39,	0,	20,	33
24,	30,	28,	27,	24,	22,	18,	24,	28,	17,	15,	27,	18,	33,	31,	40,	32,	31,	42,	26,	33,	27,	19,	24,	20,	0,	17
25,	32,	30,	27,	27.	22,	32,	22,	36,	31,	29,	37,	32,	47,	45,	51,	46,	45,	43,	41,	29,	33,	31,	12,	33,	17,	0"